model,diff-x,p-value-x,diff-y,p-value-y
gemma,-5.74e-01,8.00e-06,1.26e+00,0.00e+00
Llama3,1.26e-01,2.45e-01,-1.71e-02,9.11e-01
Falcon,-2.31e-01,7.73e-03,7.61e-02,4.67e-01
Mistral,3.74e-01,4.22e-04,-5.14e-02,7.04e-01
