model,output_x-prompt-f-score,output_x-prompt-p-value,output_x-finetune-f-score,output_x-finetune-p-value,output_x-prompt-finetune-interaction-f-score,output_x-prompt-finetune-interaction-p-value,model,output_y-prompt-f-score,output_y-prompt-p-value,output_y-finetune-f-score,output_y-finetune-p-value,output_y-prompt-finetune-interaction-f-score,output_y-prompt-finetune-interaction-p-value
gemma,2.91e+01,4.15e-43,3.28e+01,1.55e-08,2.21e+00,1.97e-02,Llama3,4.88e+00,2.39e-06,4.40e+01,6.62e-11,1.89e+00,5.07e-02
Llama3,4.51e+00,8.75e-06,2.73e+01,2.32e-07,9.61e-01,4.72e-01,Falcon,8.30e+00,1.02e-11,2.28e-02,8.80e-01,1.13e+00,3.38e-01
Falcon,9.20e+00,3.89e-13,1.90e+01,1.56e-05,4.85e-01,8.85e-01,Mistral,1.12e+01,2.68e-16,2.21e+02,6.75e-43,2.91e+00,2.23e-03
Mistral,3.98e+00,6.00e-05,1.33e+01,2.88e-04,3.42e+00,4.07e-04,,,,,,,
