model,t-stat-x,p-value,t-stat-y,p-value
gemma,-6.13e+00,1.06e-08,5.97e+00,2.07e-08
Llama3,5.08e+00,1.11e-06,-9.47e+00,2.09e-17
Falcon,8.37e+00,2.95e-15,-5.60e-01,5.77e-01
Mistral,-5.24e+00,6.91e-07,-2.27e+01,1.50e-53
