model,equality-prompt-f-score,equality-prompt-p-value,equality-finetune-f-score,equality-finetune-p-value,equality-prompt-finetune-interaction-f-score,equality-prompt-finetune-interaction-p-value,model,nation-prompt-f-score,nation-prompt-p-value,nation-finetune-f-score,nation-finetune-p-value,nation-prompt-finetune-interaction-f-score,nation-prompt-finetune-interaction-p-value,model,liberty-prompt-f-score,liberty-prompt-p-value,liberty-finetune-f-score,liberty-finetune-p-value,liberty-prompt-finetune-interaction-f-score,liberty-prompt-finetune-interaction-p-value,model,tradition-prompt-f-score,tradition-prompt-p-value,tradition-finetune-f-score,tradition-finetune-p-value,tradition-prompt-finetune-interaction-f-score,tradition-prompt-finetune-interaction-p-value
Gemma,7.50e+00,1.61e-10,4.99e+00,2.57e-02,2.16e+00,2.32e-02,Gemma,1.28e+01,6.33e-19,5.81e+01,8.22e-14,3.34e+00,5.10e-04,Gemma,3.04e+01,5.54e-45,6.41e+00,1.15e-02,2.59e+00,6.13e-03,Gemma,4.32e+01,1.40e-61,4.73e+01,1.34e-11,6.73e+00,2.74e-09
Llama,5.64e+00,1.49e-07,5.82e+01,7.83e-14,2.07e+00,3.01e-02,Llama,7.66e-01,6.48e-01,7.83e+01,7.12e-18,2.93e+00,2.04e-03,Llama,1.90e+00,4.96e-02,1.51e+01,1.10e-04,2.73e+00,3.89e-03,Llama,1.05e+00,4.02e-01,1.35e+01,2.55e-04,1.76e+00,7.17e-02
Falcon,2.01e+01,8.43e-30,5.03e+00,2.52e-02,5.64e-01,8.27e-01,Falcon,6.70e+00,3.50e-09,1.17e+01,6.79e-04,5.75e-01,8.18e-01,Falcon,6.22e+00,1.98e-08,5.93e+01,5.30e-14,1.49e+00,1.50e-01,Falcon,7.58e+00,1.37e-10,1.03e+01,1.39e-03,8.12e-01,6.06e-01
Mistral,8.30e+00,1.03e-11,1.11e+02,6.54e-24,1.54e+00,1.30e-01,Mistral,4.43e+00,1.20e-05,1.90e+01,1.50e-05,3.59e+00,2.31e-04,Mistral,3.79e+00,1.16e-04,2.28e+01,2.00e-06,2.83e+00,2.91e-03,Mistral,1.01e+01,1.48e-14,3.14e-03,9.55e-01,1.85e+00,5.60e-02
